question,generated_answer,latency,faithfulness,context_relevancy,answer_correctness,strategy
Što znači status 'Zaprimljen i neuparen' u FiskAplikaciji?,"Status 'Zaprimljen i neuparen' u FiskAplikaciji označava da je eRačun zaprimljen, ali još nije povezan s odgovarajućim fiskalnim računom ili transakcijom. To može značiti da je račun primljen, ali nije dovršen proces usklađivanja s drugim relevantnim podacima.",3.3103907108306885,0.5,0.5,0.5,micro_overlap20
Što znači status 'Odstupanje' u FiskAplikaciji i treba li zbog toga odbiti račun?,"Status 'Odstupanje' u FiskAplikaciji može ukazivati na problem s fiskalizacijom računa, ali nije nužno razlog za odbijanje računa. Preporučuje se provjeriti dodatne informacije ili upute vezane uz taj status kako bi se donijela ispravna odluka o računu.",2.3072547912597656,0.5,0.5,0.5,micro_overlap20
Što je AMS i čemu služi?,"AMS je adresar metapodatkovnih servisa kojim upravlja Ministarstvo financija. Služi za dohvat podataka, uključujući podatak o krajnjoj adresi za zaprimanje eRačuna, koji izdavatelj računa može dobiti putem upita uz identifikator primatelja eRačuna.",2.6051015853881836,0.5,1.0,0.8,micro_overlap20
Kakvu strukturu mora imati broj eRačuna?,Broj eRačuna mora sadržavati samo znamenke od 0 do 9.,1.7973556518554688,0.3,0.6,0.2,micro_overlap20
Što je samoizdavanje eRačuna i kako se provodi fiskalizacija?,"Samoizdavanje eRačuna odnosi se na proces u kojem izdavatelj eRačuna samostalno generira eRačun, a fiskalizacija se provodi odvojeno od postupka razmjene eRačuna u trenutku njegovog izdavanja. To znači da je izdavatelj dužan osigurati da fiskalizacija bude provedena u skladu s propisima koji proizlaze iz zakona.",3.0757980346679688,0.5,0.5,0.5,micro_overlap20
Kada postoji obveza izdavanja eRačuna za inozemne transakcije?,"Obveza izdavanja eRačuna za inozemne transakcije nije navedena u dostupnim informacijama. Fokus je na tuzemnim transakcijama, gdje izdavatelj eRačuna mora izdati eRačun osim ako je izuzet prema posebnom zakonu. Za inozemne transakcije potrebne su dodatne informacije koje nisu uključene u navedeni kontekst.",2.9942731857299805,0.5,0.5,0.5,micro_overlap20
Može li se isti digitalni certifikat koristiti za F1.0 i F2.0?,Informacije o korištenju digitalnog certifikata za F1.0 i F2.0 nisu navedene. Preporučuje se provjeriti specifične smjernice ili regulative koje se odnose na korištenje digitalnih certifikata u tim verzijama.,2.562155246734619,0.5,0.5,0.0,micro_overlap20
Kada se može primijeniti članak 39. Zakona za B2B transakcije?,"Članak 39. Zakona može se primijeniti na B2B transakcije kada je transakcija izuzeta od obveze izdavanja eRačuna i fiskalizacije eRačuna, prema iznimkama navedenim u tom članku.",3.21476411819458,0.5,0.5,0.5,micro_overlap20
Kako se postupa s računima za predujam kod izdavanja konačnog računa?,"Računi za predujam se obrađuju tako da se svaki predujam primljen od primatelja eRačuna prije obavljene isporuke uzima u obzir, pod uvjetom da su izdavatelj i primatelj eRačuna porezni obveznici sa sjedištem ili prebivalištem u Republici Hrvatskoj. Konačni račun treba odražavati ukupan iznos koji uključuje predujam, a način plaćanja također treba biti jasno naveden.",4.075374364852905,0.5,0.5,0.5,micro_overlap20
Koje su obveze odvjetničkih ureda koji nisu u sustavu PDV-a?,"Odvjetnički uredi koji nisu u sustavu PDV-a nisu obvezni provoditi fiskalizaciju računa za ostvarene promete u skladu s odredbama zakona. Međutim, ukoliko ostvaruju dobit, dužni su primijeniti pravila u skladu s relevantnim člancima koji se odnose na porez na dobit.",3.110440731048584,0.5,0.5,0.5,micro_overlap20
Kako se štiti profesionalna tajna odvjetnika kod eRačuna?,"Profesionalna tajna odvjetnika kod eRačuna štiti se sukladno obvezi čuvanja porezne tajne, koja je propisana zakonom o općem poreznom postupku. To uključuje mjere koje osiguravaju stupanj tajnosti i posebne sigurnosne mjere u skladu sa zakonima i drugim propisima.",2.4319372177124023,0.5,0.5,0.5,micro_overlap20
Koje su obveze OPG-a u sustavu PDV-a vezano uz fiskalizaciju?,"Obveze OPG-a u sustavu PDV-a vezano uz fiskalizaciju uključuju dostavljanje OIB-a operatera u Sustav za fiskalizaciju kao element računa prilikom fiskalizacije računa. Također, obveznici fiskalizacije dužni su dostaviti podatke o svakom samoposlužnom uređaju u kojem se ostvaruje promet u krajnjoj potrošnji.",2.819706916809082,0.5,0.5,0.5,micro_overlap20
Koje vrste dokumenata (šifre) se najčešće koriste za eRačune u Hrvatskoj?,Informacije o vrstama dokumenata (šiframa) koje se najčešće koriste za eRačune u Hrvatskoj nisu navedene. Preporučuje se konzultirati relevantne izvore ili propise za detalje o šiframa eRačuna.,3.1741840839385986,0.0,0.0,0.0,micro_overlap20
Koja je razlika između poslovnih procesa P4 i P6?,Nema informacija o poslovnim procesima P4 i P6 u dostupnom kontekstu.,1.4979004859924316,0.0,0.0,0.0,micro_overlap20
Zašto se eRačun pojavljuje kao nefiskaliziran u FiskAplikaciji?,"eRačun se može pojaviti kao nefiskaliziran u FiskAplikaciji zbog različitih razloga, uključujući mogućnost da nije pravilno zaprimljen, naplaćen ili je odbijen. Također, može biti povezan s problemima u komunikaciji između izdavatelja i primatelja eRačuna ili s tehničkim greškama u sustavu.",2.1792867183685303,0.5,0.5,0.5,micro_overlap20
Hoće li se poduzetnici kažnjavati zbog grešaka u fiskalizaciji eRačuna?,"Da, poduzetnici će se kažnjavati zbog grešaka u fiskalizaciji eRačuna, posebno pravne osobe kao proizvođači i održavatelji programskih rješenja, kao i fizičke osobe obrtnici i oni koji obavljaju samostalne djelatnosti.",2.5572195053100586,0.0,0.5,0.0,micro_overlap20
Zašto je AS4 protokol važan za razmjenu eRačuna?,"AS4 protokol je važan za razmjenu eRačuna jer omogućava sigurnu i standardiziranu razmjenu podataka između izdavatelja i primatelja eRačuna. Ovaj protokol osigurava da se podaci razmjenjuju u formatima koji su usklađeni s potrebama i zahtjevima fiskalizacije, čime se povećava sigurnost i pouzdanost cijelog procesa.",3.183072090148926,0.6,0.7,0.8,micro_overlap20
"Paušalni obrt nije u sustavu PDV-a, većina kupaca su građani koji plaćaju na transakcijski račun, ali povremeno ima i B2B kupce koji plaćaju karticom. Što se mijenja u njegovom poslovanju od 1.1.2026?","Od 1.1.2026. paušalni obrt će morati izdavati račune putem elektroničkog uređaja za izdavanje računa i fiskalizirati svaku prodaju, uključujući i one putem samoposlužnih uređaja, u trenutku prodaje. To će značiti promjenu u načinu vođenja poslovanja i evidentiranja transakcija.",3.2568347454071045,0.5,0.5,0.5,micro_overlap20
Što je eRačun i mora li biti u PDF formatu?,"eRačun je račun koji je izdan, poslan i zaprimljen u strukturiranom elektroničkom obliku, a omogućuje njegovu automatsku i elektroničku obradu. Nije navedeno da mora biti u PDF formatu.",2.373420476913452,0.5,0.5,0.5,micro_overlap40
Tko se smatra izdavateljem i primateljem eRačuna prema Zakonu o fiskalizaciji?,"Izdavateljem eRačuna smatra se porezni obveznik sa sjedištem, prebivalištem ili uobičajenim boravištem u tuzemstvu koji je upisan u registar obveznika PDV-a. Primatelj eRačuna je osoba kojoj se eRačun izdaje za tuzemne transakcije.",3.2693893909454346,0.6,1.0,0.5,micro_overlap40
Od kada obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune?,Obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune od 1. travnja 2013.,1.7793478965759277,0.0,1.0,0.0,micro_overlap40
Što je fiskalizacija eRačuna i kada se mora provesti?,"Fiskalizacija eRačuna je proces koji se mora provesti za primljene i izdane eRačune. Za primatelje eRačuna, fiskalizacija se mora provesti odvojeno od postupka razmjene eRačuna najkasnije pet radnih dana od primitka eRačuna. Izdavatelji eRačuna su dužni provesti fiskalizaciju odvojeno od postupka razmjene eRačuna u trenutku izdavanja eRačuna.",2.6819279193878174,0.7,0.9,0.8,micro_overlap40
Koje su glavne razlike između Fiskalizacije 1.0 i Fiskalizacije 2.0?,Nema informacija o razlikama između Fiskalizacije 1.0 i Fiskalizacije 2.0 u dostupnom sadržaju.,2.1135685443878174,0.0,0.5,0.0,micro_overlap40
Što je pristupna točka i tko može biti pristupna točka?,"Pristupna točka obveznika fiskalizacije može biti elektronički uređaj za izdavanje računa ili informacijski sustav obveznika fiskalizacije. Također, naplatni uređaj ili informacijski sustav obveznika fiskalizacije također se smatraju pristupnom točkom.",2.6819419860839844,0.5,0.5,0.5,micro_overlap40
Što mora informacijski posrednik napraviti da bi mogao pružati usluge?,"Informacijski posrednik mora dostaviti dokumentaciju propisanu člankom 61. kako bi mogao obavljati poslove prema odredbama Zakona. Ako je brisan s Popisa informacijskih posrednika, također mora ispuniti uvjete propisane člankom 59.",2.184751033782959,0.5,0.5,0.5,micro_overlap40
Što je aplikacija MIKROeRAČUN i tko je može koristiti?,Aplikacija MIKROeRAČUN je besplatna aplikacija koja se koristi za upravljanje eRačunima. Porezni obveznici koji žele koristiti ovu aplikaciju moraju prihvatiti opće uvjete korištenja.,1.9203438758850098,0.5,0.5,0.5,micro_overlap40
Kada izdavatelj eRačuna mora provoditi postupak eIzvještavanja?,Izdavatelj eRačuna mora provoditi postupak eIzvještavanja kada nije bilo moguće izdati eRačun za isporuke.,2.0064876079559326,0.5,0.5,0.5,micro_overlap40
Što mora napraviti primatelj eRačuna koji odbija eRačun?,"Primatelj eRačuna koji odbija eRačun mora dostaviti podatak o odbijanju, čime se smatra da je dostavio izjavu da neće koristiti pravo na pretporez po tom eRačunu.",2.1368234157562256,0.5,0.5,0.5,micro_overlap40
Je li podatak KPD-a obvezan na eRačunu i u kojim slučajevima?,"Da, podatak KPD-a je obvezan na eRačunu. Obveznici primjene Zakona dužni su povezati podatak o stavci robe i usluge u eRačunu s ispravnom klasifikacijskom oznakom iz KPD-a i iskazati je u eRačunu kao šesteroznamenkastu oznaku.",2.6563990116119385,0.5,0.5,0.5,micro_overlap40
Čemu služi FiskAplikacija i koje funkcionalnosti omogućava?,"FiskAplikacija služi za pregled fiskaliziranih podataka i eIzvještavanje. Omogućava pregled podataka iz fiskalizacije računa i eRačuna, kao i uvid u statuse eRačuna, koji mogu biti zaprimljen, naplaćen ili odbijen.",2.469712257385254,0.5,0.5,0.5,micro_overlap40
Što znači status 'Zaprimljen i neuparen' u FiskAplikaciji?,"Status 'Zaprimljen i neuparen' u FiskAplikaciji označava da je eRačun zaprimljen, ali još nije povezan s odgovarajućim plaćanjem ili drugim potrebnim podacima. To znači da je račun dostavljen, ali nije dovršen proces obrade ili usklađivanja s primateljem.",2.725120782852173,0.5,0.5,0.5,micro_overlap40
Što znači status 'Odstupanje' u FiskAplikaciji i treba li zbog toga odbiti račun?,Status 'Odstupanje' u FiskAplikaciji označava situaciju u kojoj postoji nesukladnost ili problem s eRačunom. Ovaj status može ukazivati na to da račun nije u potpunosti usklađen s propisima ili da su potrebne dodatne informacije. Odbijanje računa zbog ovog statusa ovisi o specifičnim pravilima i procedurama koje se primjenjuju u takvim slučajevima. Preporučuje se provjeriti dodatne informacije ili upute vezane uz status 'Odstupanje' kako bi se donijela ispravna odluka.,3.32104754447937,0.6,0.7,0.5,micro_overlap40
Što je AMS i čemu služi?,"AMS je sustav koji omogućuje dohvat podataka o krajnjoj adresi za zaprimanje eRačuna. Izdavatelj računa postavlja upit AMS-u uz identifikator primatelja eRačuna kako bi dobio potrebne informacije. Također, primatelj eRačuna je dužan odmah dostaviti svaku promjenu podataka unutar AMS-a.",4.473360776901245,0.7,1.0,0.8,micro_overlap40
Kakvu strukturu mora imati broj eRačuna?,"Broj eRačuna mora imati sljedeću strukturu: sastoji se od numeričkog broja, a također uključuje oznaku poslovnog prostora na razini uređaja za izdavanje računa.",3.090724468231201,0.5,0.5,0.5,micro_overlap40
Što je samoizdavanje eRačuna i kako se provodi fiskalizacija?,"Samoizdavanje eRačuna odnosi se na proces u kojem izdavatelj eRačuna samostalno generira eRačun za svoje proizvode ili usluge. Fiskalizacija eRačuna provodi se odvojeno od postupka razmjene eRačuna u trenutku njegovog izdavanja. To uključuje fiskalizaciju izdavanja i zaprimanja eRačuna, pri čemu se podaci o prodaji dostavljaju u Sustav za fiskalizaciju.",3.3201262950897217,0.5,0.5,0.5,micro_overlap40
Kada postoji obveza izdavanja eRačuna za inozemne transakcije?,Obveza izdavanja eRačuna za inozemne transakcije nije navedena u dostupnim informacijama. Informacije se fokusiraju na obvezu izdavanja eRačuna za tuzemne transakcije.,2.0959413051605225,0.5,0.5,0.5,micro_overlap40
Može li se isti digitalni certifikat koristiti za F1.0 i F2.0?,Informacije o korištenju istog digitalnog certifikata za F1.0 i F2.0 nisu navedene. Preporučuje se provjeriti specifične zahtjeve ili smjernice vezane uz svaki od tih sustava.,2.1715245246887207,0.5,0.5,0.0,micro_overlap40
Kada se može primijeniti članak 39. Zakona za B2B transakcije?,"Članak 39. Zakona može se primijeniti na B2B transakcije koje su izuzete od obveze izdavanja eRačuna i fiskalizacije, no točan uvjet za izuzeće nije naveden u dostupnim informacijama. Za B2B transakcije koje se plaćaju gotovinom ili karticom, obveza izdavanja računa i fiskalizacije ostaje na snazi.",2.6645052433013916,0.5,0.7,0.5,micro_overlap40
Kako se postupa s računima za predujam kod izdavanja konačnog računa?,"Računi za predujam se obrađuju tako da se svaki predujam primljen od primatelja eRačuna prije obavljene isporuke uzima u obzir, pod uvjetom da su izdavatelj i primatelj eRačuna porezni obveznici sa sjedištem ili prebivalištem u Republici Hrvatskoj. Konačni račun treba uključivati ukupan iznos koji je iskazan na računu s izdanog računa, uzimajući u obzir način plaćanja.",5.149044036865234,0.6,0.7,0.5,micro_overlap40
Koje su obveze odvjetničkih ureda koji nisu u sustavu PDV-a?,Odvjetnički uredi koji nisu u sustavu PDV-a nisu obvezni provoditi fiskalizaciju računa za ostvarene promete.,1.8728725910186768,0.0,0.5,0.0,micro_overlap40
Kako se štiti profesionalna tajna odvjetnika kod eRačuna?,"Profesionalna tajna odvjetnika kod eRačuna štiti se sukladno obvezi čuvanja porezne tajne, koja je propisana zakonima i drugim propisima. To uključuje posebne sigurnosne mjere koje osiguravaju zaštitu osjetljivih informacija.",2.1414387226104736,0.5,0.5,0.5,micro_overlap40
Koje su obveze OPG-a u sustavu PDV-a vezano uz fiskalizaciju?,"Obveze OPG-a u sustavu PDV-a vezano uz fiskalizaciju uključuju dostavljanje OIB-a operatera u Sustav za fiskalizaciju kao element računa prilikom fiskalizacije računa. Također, obveznik fiskalizacije računa mora dostaviti podatak o svakom samoposlužnom uređaju u kojem se ostvaruje promet u krajnjoj potrošnji.",3.446098804473877,0.5,0.5,0.5,micro_overlap40
Koje vrste dokumenata (šifre) se najčešće koriste za eRačune u Hrvatskoj?,Informacije o vrstama dokumenata (šiframa) koje se najčešće koriste za eRačune u Hrvatskoj nisu navedene.,1.9073631763458252,0.0,0.5,0.0,micro_overlap40
Koja je razlika između poslovnih procesa P4 i P6?,Nema dovoljno informacija o poslovnim procesima P4 i P6 u dostavljenim podacima da bi se mogla utvrditi razlika između njih.,1.7544159889221191,0.0,0.0,0.0,micro_overlap40
Zašto se eRačun pojavljuje kao nefiskaliziran u FiskAplikaciji?,"eRačun se može pojaviti kao nefiskaliziran u FiskAplikaciji zbog različitih statusa, kao što su zaprimljen, naplaćen ili odbijen. Ako eRačun nije pravilno obrađen ili nije ispunio uvjete za fiskalizaciju, može biti označen kao nefiskaliziran.",2.203329563140869,0.5,0.5,0.5,micro_overlap40
Hoće li se poduzetnici kažnjavati zbog grešaka u fiskalizaciji eRačuna?,"Da, poduzetnici će se kažnjavati zbog grešaka u fiskalizaciji eRačuna. Fizičke osobe obrtnici i druge samostalne djelatnosti, kao i pravne osobe, suočavaju se s novčanim kaznama ako ne provode fiskalizaciju računa ili ako ne ispunjavaju druge obveze vezane uz fiskalizaciju.",2.6626689434051514,0.0,0.5,0.0,micro_overlap40
Zašto je AS4 protokol važan za razmjenu eRačuna?,"AS4 protokol je važan za razmjenu eRačuna jer omogućava sigurnu i standardiziranu razmjenu podataka između izdavatelja i primatelja eRačuna. Ovaj protokol osigurava da se podaci razmjenjuju u formatima koji su usklađeni s propisima, čime se povećava sigurnost i pouzdanost cijelog procesa.",2.338474988937378,0.5,0.5,0.5,micro_overlap40
"Paušalni obrt nije u sustavu PDV-a, većina kupaca su građani koji plaćaju na transakcijski račun, ali povremeno ima i B2B kupce koji plaćaju karticom. Što se mijenja u njegovom poslovanju od 1.1.2026?","Od 1.1.2026. paušalni obrt će morati početi izdavati račune putem elektroničkog uređaja za izdavanje računa i fiskalizirati svaku prodaju, uključujući i one putem samoposlužnih uređaja, u trenutku prodaje. To će značiti promjenu u načinu vođenja poslovanja i evidentiranja transakcija.",2.9427483081817627,0.5,0.5,0.5,micro_overlap40
Što je eRačun i mora li biti u PDF formatu?,"eRačun je elektronički račun koji se može razmjenjivati različitim tehnologijama i procedurama, uz uvjet da se poštuju odredbe zakona te osigurava vjerodostojnost podrijetla, cjelovitost sadržaja i čitljivost tijekom razdoblja čuvanja. Nije nužno da eRačun bude u PDF formatu, jer se može razmjenjivati i drugim tehnologijama.",2.661250591278076,0.5,0.5,0.5,standard_overlap50
Tko se smatra izdavateljem i primateljem eRačuna prema Zakonu o fiskalizaciji?,"Izdavateljem eRačuna smatra se porezni obveznik sa sjedištem, prebivalištem ili uobičajenim boravištem u tuzemstvu koji je upisan u registar obveznika PDV-a, obveznik poreza na dohodak od samostalne djelatnosti ili obveznik poreza na dobit koji nije upisan u registar obveznika PDV-a, te tijela državne uprave i jedinice lokalne i područne samouprave koje su upisane u Registar proračunskih i izvanproračunskih korisnika.

Primateljem eRačuna smatra se porezni obveznik sa sjedištem, prebivalištem ili uobičajenim boravištem u tuzemstvu i upisan u registar obveznika PDV-a, kao i obveznik poreza na dohodak od samostalne djelatnosti i obveznik poreza na dobit koji nije upisan u registar obveznika PDV-a.",4.342480659484863,0.8,1.0,0.8,standard_overlap50
Od kada obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune?,Obveznici koji nisu u sustavu PDV-a moraju izdavati i zaprimati eRačune odmah nakon provedenog slanja i zaprimanja ispravljenog eRačuna.,1.5305147171020508,0.5,0.5,0.0,standard_overlap50
Što je fiskalizacija eRačuna i kada se mora provesti?,"Fiskalizacija eRačuna je postupak koji obveznici fiskalizacije moraju provesti kako bi osigurali da su eRačuni pravilno evidentirani i prijavljeni. Izdavatelj eRačuna dužan je provesti fiskalizaciju odvojeno od postupka razmjene eRačuna u trenutku izdavanja eRačuna, a u slučaju samoizdavanja računa najkasnije pet radnih dana nakon što je eRačun izdan. Primatelj eRačuna također mora provesti fiskalizaciju najkasnije pet radnih dana od primitka eRačuna.",3.5330283641815186,1.0,1.0,1.0,standard_overlap50
Koje su glavne razlike između Fiskalizacije 1.0 i Fiskalizacije 2.0?,Informacije o razlikama između Fiskalizacije 1.0 i Fiskalizacije 2.0 nisu navedene. Stoga nije moguće pružiti odgovor na to pitanje.,2.152172327041626,0.0,0.0,0.0,standard_overlap50
Što je pristupna točka i tko može biti pristupna točka?,"Pristupna točka je porezni obveznik ili informacijski posrednik koji ispunjava sve tehničke uvjete za razmjenu eRačuna, fiskalizaciju eRačuna, eIzvještavanje ili uslugu MPS-a.",1.9523136615753174,1.0,1.0,1.0,standard_overlap50
Što mora informacijski posrednik napraviti da bi mogao pružati usluge?,"Informacijski posrednik mora dostaviti Poreznoj upravi dokumentaciju propisanu člankom 61. Zakona i uspješno provesti testiranje sukladnosti kako bi ishodio završno izvješće. Nakon ispunjavanja tih uvjeta, Porezna uprava izdaje potvrdu o sukladnosti.",2.3176639080047607,0.5,0.5,0.5,standard_overlap50
Što je aplikacija MIKROeRAČUN i tko je može koristiti?,"Aplikacija MIKROeRAČUN omogućava izdavanje, zaprimanje, pohranu i fiskalizaciju eRačuna. Mogu je koristiti izdavatelji i primatelji eRačuna koji su korisnici sustava ePorezna, nisu upisani u registar obveznika PDV-a i nisu obveznici primjene propisa o elektroničkom izdavanju računa u javnoj nabavi kao javni naručitelji. Korištenje aplikacije je besplatno, a korisnici moraju prihvatiti opće uvjete korištenja.",2.752797842025757,0.7,0.9,0.8,standard_overlap50
Kada izdavatelj eRačuna mora provoditi postupak eIzvještavanja?,"Izdavatelj eRačuna mora provoditi postupak eIzvještavanja kada nije bilo moguće izdati eRačun za isporuke, a primatelji računa su trgovačka društva, obrtnici ili nositelji slobodnog zanimanja. U tom slučaju, obveznik izvještavanja dužan je dostaviti propisane podatke Sustavu za fiskalizaciju.",2.6750314235687256,0.7,0.8,0.6,standard_overlap50
Što mora napraviti primatelj eRačuna koji odbija eRačun?,"Primatelj eRačuna dužan je zaprimiti eRačun na način propisan zakonom. Ako odbija eRačun, trebao bi slijediti procedure koje su definirane u relevantnim propisima, no konkretne mjere za odbijanje eRačuna nisu navedene u dostupnim informacijama.",1.9343783855438232,0.5,0.5,0.5,standard_overlap50
Je li podatak KPD-a obvezan na eRačunu i u kojim slučajevima?,"Podatak KPD-a nije obvezan na eRačunu, osim u slučaju računa za predujam.",1.8212270736694336,0.5,0.5,0.5,standard_overlap50
Čemu služi FiskAplikacija i koje funkcionalnosti omogućava?,"FiskAplikacija služi za pregled fiskaliziranih podataka i upravljanje ovlaštenjima za razmjenu eRačuna i fiskalizaciju. Omogućava uvid u statuse računa, informativno ispunjenu prijavu poreza na dodanu vrijednost (PDV) za određeno razdoblje oporezivanja, te unos podataka potrebnih za fiskalizaciju i eIzvještavanje.",2.8362619876861572,0.7,1.0,0.7,standard_overlap50
Što znači status 'Zaprimljen i neuparen' u FiskAplikaciji?,"Status 'Zaprimljen i neuparen' u FiskAplikaciji označava da je račun zaprimljen, ali još nije povezan s odgovarajućim podacima ili transakcijom. To može značiti da se račun čeka na daljnju obradu ili da su potrebne dodatne informacije za njegovo usklađivanje.",2.1391777992248535,0.5,0.5,0.5,standard_overlap50
Što znači status 'Odstupanje' u FiskAplikaciji i treba li zbog toga odbiti račun?,"Status 'Odstupanje' u FiskAplikaciji obično označava da postoji neka vrsta nesukladnosti ili problema s računom koji je potrebno razjasniti. Ovisno o prirodi odstupanja, može biti potrebno odbiti račun ili poduzeti druge mjere kako bi se ispravila situacija. Preporučuje se provjeriti detalje odstupanja i konzultirati se s relevantnim pravilnicima ili stručnjacima kako bi se donijela ispravna odluka.",4.742875814437866,0.0,0.3,0.0,standard_overlap50
Što je AMS i čemu služi?,"AMS, ili adresar metapodatkovnih servisa, je sustav kojim upravlja Ministarstvo financija, Porezna uprava. Sadrži identifikatore i pripadajuće metapodatkovne servise poreznih obveznika, a omogućava dostupnost podataka o adresi primatelja eRačuna.",2.01377534866333,0.7,0.9,0.8,standard_overlap50
Kakvu strukturu mora imati broj eRačuna?,"Broj eRačuna mora imati sljedeću strukturu: sastoji se od numeričke oznake računa, oznake poslovnog prostora i oznake naplatnog uređaja, u obliku: brojčana oznaka računa/oznaka poslovnog prostora/oznaka naplatnog uređaja. Na primjer, može izgledati ovako: 1234567890/POSL1/12. Numerički broj računa može sadržavati samo znamenke 0-9, bez vodećih nula, dok oznaka poslovnog prostora može sadržavati znamenke i slova (0-9, a-z, A-Z) i mora biti jedinstvena na razini OIB-a obveznika.",2.9971587657928467,0.5,0.5,0.5,standard_overlap50
Što je samoizdavanje eRačuna i kako se provodi fiskalizacija?,"Samoizdavanje eRačuna odnosi se na proces u kojem porezni obveznici sami izdaju eRačune, koji su računi u strukturiranom elektroničkom obliku. Ovi računi omogućuju automatsku i elektroničku obradu. Fiskalizacija se provodi putem centralnog sustava Porezne uprave, koji prima, kontrolira i obrađuje podatke iz fiskalizacije računa u krajnjoj potrošnji, uključujući eRačune. Tijekom fiskalizacije, podaci o isporukama, odbijanju i naplati eRačuna dostavljaju se u sustav, osiguravajući vjerodostojnost i cjelovitost informacija.",4.683449029922485,0.5,0.5,0.5,standard_overlap50
